Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069417,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,0.08%,"50.48MiB / 256MiB",19.72%,"726B / 0B","0B / 0B",20
1741069417,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.06kB / 0B","0B / 0B",18
1741069417,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,0.18%,"107.6MiB / 15.48GiB",0.68%,"82.5MB / 632kB","0B / 0B",30
1741069417,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,0.13%,"92.11MiB / 15.48GiB",0.58%,"1.32kB / 0B","0B / 0B",38
1741069417,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,0.10%,"61.17MiB / 256MiB",23.89%,"1.41kB / 0B","0B / 0B",20
1741069417,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,2.04%,"881.8MiB / 15.48GiB",5.56%,"2.04MB / 82.8MB","0B / 0B",224
1741069429,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,0.12%,"50.48MiB / 256MiB",19.72%,"796B / 0B","0B / 0B",20
1741069429,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.06kB / 0B","0B / 0B",18
1741069429,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,1484.03%,"2.056GiB / 15.48GiB",13.28%,"82.5MB / 687kB","0B / 0B",797
1741069429,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,0.17%,"92.12MiB / 15.48GiB",0.58%,"1.32kB / 0B","0B / 0B",38
1741069429,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,0.13%,"61.17MiB / 256MiB",23.89%,"1.41kB / 0B","0B / 0B",20
1741069429,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,12.91%,"894.7MiB / 15.48GiB",5.65%,"2.11MB / 82.8MB","0B / 0B",240
1741069442,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,2.90%,"53.09MiB / 256MiB",20.74%,"25.7kB / 18kB","0B / 0B",23
1741069442,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.23kB / 0B","0B / 0B",18
1741069442,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,8.95%,"2.347GiB / 15.48GiB",15.17%,"82.5MB / 836kB","0B / 0B",1423
1741069442,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,0.86%,"93MiB / 15.48GiB",0.59%,"75.3kB / 83.5kB","0B / 0B",38
1741069442,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,3.16%,"62.73MiB / 256MiB",24.51%,"17.3kB / 10.3kB","0B / 0B",21
1741069442,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,15.96%,"897.1MiB / 15.48GiB",5.66%,"2.22MB / 82.8MB","0B / 0B",241
1741069455,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,5.87%,"53.11MiB / 256MiB",20.74%,"107kB / 73.9kB","0B / 0B",21
1741069455,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.23kB / 0B","0B / 0B",18
1741069455,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,13.98%,"2.356GiB / 15.48GiB",15.22%,"82.7MB / 1.16MB","0B / 0B",1422
1741069455,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,1.53%,"93.19MiB / 15.48GiB",0.59%,"387kB / 434kB","0B / 0B",38
1741069455,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,6.19%,"63.18MiB / 256MiB",24.68%,"98.4kB / 66kB","0B / 0B",22
1741069455,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,2.08%,"899.4MiB / 15.48GiB",5.68%,"2.4MB / 82.9MB","0B / 0B",240
1741069466,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,9.43%,"53.45MiB / 256MiB",20.88%,"243kB / 168kB","0B / 0B",21
1741069466,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.23kB / 0B","0B / 0B",18
1741069466,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,16.94%,"2.367GiB / 15.48GiB",15.30%,"83.1MB / 1.61MB","0B / 0B",1425
1741069466,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,2.05%,"95.42MiB / 15.48GiB",0.60%,"933kB / 1.04MB","0B / 0B",38
1741069466,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,9.25%,"63.34MiB / 256MiB",24.74%,"235kB / 160kB","0B / 0B",22
1741069466,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,2.12%,"901.3MiB / 15.48GiB",5.69%,"2.55MB / 82.9MB","0B / 0B",241
1741069478,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,9.47%,"56.41MiB / 256MiB",22.04%,"433kB / 300kB","0B / 0B",22
1741069478,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.3kB / 0B","0B / 0B",18
1741069478,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,17.26%,"2.387GiB / 15.48GiB",15.42%,"83.5MB / 2.22MB","0B / 0B",1444
1741069478,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,2.55%,"95.56MiB / 15.48GiB",0.60%,"1.71MB / 1.9MB","0B / 0B",38
1741069478,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,11.18%,"63.57MiB / 256MiB",24.83%,"425kB / 293kB","0B / 0B",22
1741069478,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,1.83%,"902.9MiB / 15.48GiB",5.70%,"2.72MB / 83MB","0B / 0B",239
1741069489,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,14.57%,"56.44MiB / 256MiB",22.05%,"675kB / 472kB","0B / 0B",22
1741069489,ad1bdad91fa1,reverse-proxy-cache-1,ad1bdad91fa1,0.00%,"14.05MiB / 20MiB",70.27%,"1.3kB / 0B","0B / 0B",18
1741069489,f1c5516cc93a,reverse-proxy-agent-1,f1c5516cc93a,20.12%,"2.406GiB / 15.48GiB",15.54%,"84.1MB / 2.95MB","0B / 0B",1421
1741069489,2d16f1b6b224,reverse-proxy-lb-1,2d16f1b6b224,3.05%,"96.03MiB / 15.48GiB",0.61%,"2.72MB / 3.02MB","0B / 0B",39
1741069489,bc61d11ac6b4,reverse-proxy-api-1,bc61d11ac6b4,14.92%,"63.51MiB / 256MiB",24.81%,"670kB / 466kB","0B / 0B",22
1741069489,64b42240c5f0,reverse-proxy-controller-1,64b42240c5f0,5.08%,"904.6MiB / 15.48GiB",5.71%,"2.88MB / 83MB","0B / 0B",241
1741069501,a92e23816c0e,reverse-proxy-api-2,a92e23816c0e,18.23%,"56.54MiB / 256MiB",22.09%,"975kB / 685kB","0B / 0B",22
