Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622774,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622774,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.13%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622774,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.31%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 729kB","0B / 0B",32
1740622774,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.39kB / 0B","0B / 0B",20
1740622774,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.59%,"863.3MiB / 15.48GiB",5.45%,"730kB / 82.5MB","0B / 0B",225
1740622787,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622787,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622787,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.21%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 740kB","0B / 0B",32
1740622787,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.11%,"52.6MiB / 60MiB",87.67%,"1.39kB / 0B","0B / 0B",20
1740622787,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,1.04%,"864.4MiB / 15.48GiB",5.45%,"740kB / 82.5MB","0B / 0B",225
1740622797,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622797,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.08%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622797,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.11%,"128.7MiB / 15.48GiB",0.81%,"82.5MB / 748kB","0B / 0B",32
1740622797,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622797,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.78%,"865.4MiB / 15.48GiB",5.46%,"749kB / 82.5MB","0B / 0B",225
1740622810,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.24kB / 0B","0B / 0B",18
1740622810,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622810,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.12%,"128.9MiB / 15.48GiB",0.81%,"82.5MB / 759kB","0B / 0B",32
1740622810,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622810,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.68%,"866.8MiB / 15.48GiB",5.47%,"760kB / 82.5MB","0B / 0B",225
1740622820,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622820,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622820,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.12%,"128.9MiB / 15.48GiB",0.81%,"82.5MB / 767kB","0B / 0B",32
1740622820,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.05%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622820,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.81%,"867.7MiB / 15.48GiB",5.47%,"769kB / 82.5MB","0B / 0B",226
1740622833,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622833,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.07%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622833,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.17%,"129MiB / 15.48GiB",0.81%,"82.5MB / 778kB","0B / 0B",32
1740622833,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622833,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.57%,"868.3MiB / 15.48GiB",5.48%,"779kB / 82.5MB","0B / 0B",226
1740622845,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622845,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.08%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622845,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.90%,"134.9MiB / 15.48GiB",0.85%,"82.5MB / 788kB","0B / 0B",32
1740622845,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.06%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622845,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.60%,"869.6MiB / 15.48GiB",5.49%,"790kB / 82.5MB","0B / 0B",226
1740622856,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
1740622856,d9136c158ffc,reverse-proxy-lb-1,d9136c158ffc,0.09%,"98.14MiB / 15.48GiB",0.62%,"1.46kB / 0B","0B / 0B",35
1740622856,372f578b25b0,reverse-proxy-agent-1,372f578b25b0,0.13%,"138.9MiB / 15.48GiB",0.88%,"82.5MB / 797kB","0B / 0B",32
1740622856,795a06686ea3,reverse-proxy-api-1,795a06686ea3,0.07%,"52.6MiB / 60MiB",87.67%,"1.46kB / 0B","0B / 0B",20
1740622856,021a5140c6d7,reverse-proxy-controller-1,021a5140c6d7,0.52%,"870.1MiB / 15.48GiB",5.49%,"798kB / 82.5MB","0B / 0B",226
1740622868,c29461ffb39d,reverse-proxy-cache-1,c29461ffb39d,0.00%,"13.87MiB / 20MiB",69.34%,"1.31kB / 0B","0B / 0B",18
