Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740726640,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.68MiB / 20MiB",73.40%,"988B / 0B","0B / 0B",19
1740726640,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,0.08%,"92.16MiB / 15.48GiB",0.58%,"1.34kB / 0B","0B / 0B",38
1740726640,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,1.17%,"98.49MiB / 15.48GiB",0.62%,"82.4MB / 519kB","0B / 0B",33
1740726640,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,0.10%,"51.3MiB / 256MiB",20.04%,"1.45kB / 0B","0B / 0B",20
1740726640,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,1.81%,"817.7MiB / 15.48GiB",5.16%,"520kB / 82.4MB","0B / 0B",187
1740726651,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.68MiB / 20MiB",73.40%,"988B / 0B","0B / 0B",19
1740726651,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,0.11%,"92.16MiB / 15.48GiB",0.58%,"1.34kB / 0B","0B / 0B",38
1740726651,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,0.25%,"98.45MiB / 15.48GiB",0.62%,"82.4MB / 528kB","0B / 0B",33
1740726651,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,0.08%,"51.3MiB / 256MiB",20.04%,"1.45kB / 0B","0B / 0B",20
1740726651,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,13.36%,"833.6MiB / 15.48GiB",5.26%,"2.73MB / 82.5MB","0B / 0B",221
1740726664,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.68MiB / 20MiB",73.40%,"988B / 0B","0B / 0B",19
1740726664,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,0.13%,"92.24MiB / 15.48GiB",0.58%,"1.34kB / 0B","0B / 0B",38
1740726664,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,3.48%,"99.83MiB / 15.48GiB",0.63%,"82.4MB / 542kB","0B / 0B",36
1740726664,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,0.12%,"51.31MiB / 256MiB",20.04%,"1.45kB / 0B","0B / 0B",20
1740726664,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,2.22%,"850.2MiB / 15.48GiB",5.36%,"2.78MB / 82.6MB","0B / 0B",225
1740726676,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.06kB / 0B","0B / 0B",18
1740726676,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,0.10%,"92.24MiB / 15.48GiB",0.58%,"1.41kB / 0B","0B / 0B",38
1740726676,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,24.04%,"2.044GiB / 15.48GiB",13.21%,"82.5MB / 633kB","0B / 0B",1443
1740726676,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,0.11%,"51.31MiB / 256MiB",20.04%,"1.52kB / 0B","0B / 0B",20
1740726676,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,9.19%,"859.5MiB / 15.48GiB",5.42%,"2.88MB / 82.6MB","0B / 0B",240
1740726687,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.18kB / 0B","0B / 0B",18
1740726687,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,1.16%,"93.09MiB / 15.48GiB",0.59%,"199kB / 220kB","0B / 0B",38
1740726687,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,14.47%,"2.07GiB / 15.48GiB",13.38%,"82.6MB / 866kB","0B / 0B",1431
1740726687,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,9.01%,"53.31MiB / 256MiB",20.83%,"104kB / 72.1kB","0B / 0B",22
1740726687,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,10.76%,"862.9MiB / 15.48GiB",5.44%,"3.01MB / 82.7MB","0B / 0B",241
1740726700,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.18kB / 0B","0B / 0B",18
1740726700,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,1.89%,"93.27MiB / 15.48GiB",0.59%,"607kB / 670kB","0B / 0B",38
1740726700,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,17.72%,"2.079GiB / 15.48GiB",13.44%,"82.9MB / 1.24MB","0B / 0B",1439
1740726700,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,14.22%,"53.92MiB / 256MiB",21.06%,"329kB / 234kB","0B / 0B",23
1740726700,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,11.24%,"865.7MiB / 15.48GiB",5.46%,"3.18MB / 82.7MB","0B / 0B",241
1740726711,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.18kB / 0B","0B / 0B",18
1740726711,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,2.68%,"95.46MiB / 15.48GiB",0.60%,"1.35MB / 1.49MB","0B / 0B",38
1740726711,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,21.54%,"2.105GiB / 15.48GiB",13.60%,"83.3MB / 1.83MB","0B / 0B",1433
1740726711,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,25.75%,"56.42MiB / 256MiB",22.04%,"668kB / 473kB","0B / 0B",24
1740726711,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,92.77%,"868.1MiB / 15.48GiB",5.48%,"3.34MB / 82.8MB","0B / 0B",239
1740726724,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.25kB / 0B","0B / 0B",18
1740726724,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,2.72%,"95.91MiB / 15.48GiB",0.61%,"2.32MB / 2.56MB","0B / 0B",39
1740726724,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,24.85%,"2.119GiB / 15.48GiB",13.69%,"83.8MB / 2.55MB","0B / 0B",1436
1740726724,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,27.32%,"57.55MiB / 256MiB",22.48%,"1.14MB / 804kB","0B / 0B",25
1740726724,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,6.83%,"870.8MiB / 15.48GiB",5.49%,"3.52MB / 82.8MB","0B / 0B",241
1740726736,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.25kB / 0B","0B / 0B",18
1740726736,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,3.37%,"95.99MiB / 15.48GiB",0.61%,"3.55MB / 3.92MB","0B / 0B",39
1740726736,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,20.91%,"2.133GiB / 15.48GiB",13.78%,"84.5MB / 3.42MB","0B / 0B",1431
1740726736,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,34.93%,"56.22MiB / 256MiB",21.96%,"1.74MB / 1.23MB","0B / 0B",25
1740726736,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,2.24%,"872.1MiB / 15.48GiB",5.50%,"3.7MB / 82.9MB","0B / 0B",238
1740726747,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.25kB / 0B","0B / 0B",18
1740726747,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,4.52%,"96.36MiB / 15.48GiB",0.61%,"5.05MB / 5.58MB","0B / 0B",39
1740726747,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,25.57%,"2.169GiB / 15.48GiB",14.02%,"85.4MB / 4.43MB","0B / 0B",1430
1740726747,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,45.38%,"56.49MiB / 256MiB",22.07%,"2.48MB / 1.75MB","0B / 0B",25
1740726747,af5bd75b3c7a,reverse-proxy-controller-1,af5bd75b3c7a,1.83%,"873.8MiB / 15.48GiB",5.51%,"3.85MB / 82.9MB","0B / 0B",238
1740726760,d04204eba710,reverse-proxy-cache-1,d04204eba710,0.00%,"14.25MiB / 20MiB",71.23%,"1.25kB / 0B","0B / 0B",18
1740726760,4c40a36037aa,reverse-proxy-lb-1,4c40a36037aa,4.78%,"96.56MiB / 15.48GiB",0.61%,"6.82MB / 7.54MB","0B / 0B",39
1740726760,7f2276c97f24,reverse-proxy-agent-1,7f2276c97f24,21.19%,"2.24GiB / 15.48GiB",14.47%,"86.3MB / 5.61MB","0B / 0B",1430
1740726760,d4031f7eea0c,reverse-proxy-api-1,d4031f7eea0c,49.22%,"59.96MiB / 256MiB",23.42%,"3.35MB / 2.37MB","0B / 0B",32
