timestamp,active_connections,accepts,handled,requests,reading,writing,waiting
1741249136,1,1,1,1,0,1,0
1741249145,1,1,1,1,0,1,0
1741249155,1,1,1,1,0,1,0
1741249165,1,1,1,1,0,1,0
1741249174,2,103,103,103,0,1,1
1741249184,1,917,917,917,0,1,0
1741249194,1,1916,1916,1916,0,1,0
1741249203,6,2920,2920,2920,0,1,4
1741249213,6,3901,3901,3901,0,2,3
1741249223,1,4920,4920,4920,0,1,0
1741249233,4,5886,5886,5885,0,1,3
1741249242,2,6883,6883,6883,0,1,1
1741249252,6,2804,2804,2801,0,1,5
1741249262,4,2286,2286,2290,0,1,2
