timestamp,active_connections,accepts,handled,requests,reading,writing,waiting
1741248863,1,1,1,1,0,1,0
1741248873,1,1,1,1,0,1,0
1741248883,1,1,1,1,0,1,0
1741248892,74,74,74,297,0,1,73
1741248902,173,100,100,1268,0,1,172
1741248912,274,102,102,2248,0,1,273
1741248921,373,100,100,3245,0,1,372
1741248931,476,104,104,4239,0,1,475
1741248941,577,102,102,5255,0,1,576
1741248951,674,98,98,6236,0,1,673
1741248960,772,99,99,7234,0,1,771
1741248970,873,102,102,8196,0,1,872
1741248980,971,99,99,8911,0,1,970
1741248989,1,1,1,1,0,1,0
1741248999,1,1,1,1,0,1,0
1741249009,1,1,1,1,0,1,0
1741249018,1,1,1,1,0,1,0
1741249028,1,1,1,1,0,1,0
1741249038,1,1,1,1,0,1,0
1741249047,1,1,1,1,0,1,0
